review_id	sentiment	label_id	input_ids	review_body	date
557	-1	0	[0, 100, 218, 75, 3700, 3116, 1099, 6173, 1437, 53, 42, 3588, 16, 98, 1099, 8, 939, 236, 7, 1871, 951, 1493, 31, 2159, 24, 4, 939, 1166, 5, 2260, 1099, 6173, 8, 202, 3584, 6992, 36, 4783, 7684, 939, 216, 322, 5, 3588, 16, 2422, 13116, 36, 939, 216, 21288, 64, 28, 14, 169, 8, 24, 16, 678, 24, 74, 28679, 62, 71, 10, 367, 21, 5065, 322, 939, 437, 3700, 10, 231, 73, 398, 8, 5, 1836, 650, 32305, 162, 1437, 8, 5, 3023, 29, 21, 380, 6128, 4682, 149, 5, 11044, 36, 118, 2740, 258, 10070, 7, 860, 322, 939, 1979, 75, 5940, 2159, 42, 114, 47, 32, 10, 1836, 290, 50, 650, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	I don't typically write bad reviews  but this dress is so bad and i want to save someone else from buying it. i read the mostly bad reviews and still purchased anyway (my fault i know). the dress is super stiff ( i know denim can be that way and it is possible it would soften up after a few washes). i'm typically a 6/8 and the size small swallowed me  and the xs was big everywhere except through the bust (i ordered both sizes to try). i wouldn't recommend buying this if you are a size 8 or small	2023-03-08T03:30:53Z
18496	-1	0	[0, 27847, 45, 224, 14966, 5134, 4, 222, 45, 236, 14966, 5134, 4, 74, 45, 33, 2162, 14966, 5134, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	Does not say ribbed. did not want ribbed. would not have bought ribbed	2023-03-08T03:30:53Z
9627	0	1	[0, 100, 2740, 42, 7, 5240, 23, 127, 1400, 8, 21, 98, 2283, 7, 860, 24, 15, 4, 24, 21, 3793, 8, 740, 7027, 352, 1437, 53, 10, 410, 3298, 4740, 223, 5, 3701, 1437, 8, 24, 7722, 6128, 4, 223, 39724, 4567, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	I ordered this to arrive at my store and was so excited to try it on. it was soft and cuddly  but a little baggy under the arms  and it shed everywhere. underwhelmed.	2023-03-08T03:30:53Z
16244	1	2	[0, 133, 23385, 1902, 15, 42, 16, 5568, 192, 149, 8, 14, 817, 42, 21288, 16576, 269, 14160, 4, 5, 13977, 1237, 650, 98, 939, 56, 7, 671, 127, 1836, 13, 5, 220, 1836, 62, 61, 21, 202, 10, 828, 41783, 4, 53, 5, 16576, 16, 98, 444, 1684, 5, 2340, 1437, 9379, 12, 18257, 21288, 16576, 939, 95, 33, 7, 489, 24, 4, 23, 195, 108, 246, 113, 24, 2323, 95, 235, 1437, 2829, 1065, 5, 4117, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	"The hemline on this is somewhat see through and that makes this denim skirt really stylish. the waist runs small so i had to return my size for the next size up which was still a bit snug. but the skirt is so far beyond the normal  ho-hum denim skirt i just have to keep it. at 5'3"" it hits just right  slightly above the knee."	2023-03-08T03:30:53Z
12004	-1	0	[0, 100, 437, 5779, 11, 209, 9304, 1437, 61, 1415, 98, 2721, 804, 8, 190, 33, 12189, 328, 11, 621, 5, 6184, 8, 8089, 2025, 75, 25, 2579, 1437, 5, 10199, 16, 350, 7174, 1437, 8, 5, 9304, 356, 6162, 4, 5, 12189, 32, 1256, 16762, 4, 5, 2564, 965, 75, 205, 1169, 4, 939, 2740, 62, 36, 118, 437, 227, 10070, 43, 8, 51, 214, 202, 45, 25, 3041, 219, 25, 939, 1017, 33, 6640, 4, 209, 32, 350, 3349, 24363, 25, 18437, 9304, 13, 162, 7, 28, 15, 5, 8146, 59, 106, 1437, 98, 51, 214, 164, 124, 4, 114, 47, 907, 106, 4730, 59, 5, 7174, 10199, 8, 41783, 2564, 1437, 51, 429, 19958, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	I'm disappointed in these pants  which looked so beautiful online and even have pockets! in person the pattern and colors aren't as nice  the fabric is too thin  and the pants look cheap. the pockets are pretty shallow. the fit isn't good either. i ordered up (i'm between sizes) and they're still not as flowy as i'd have liked. these are too pricy as lounge pants for me to be on the fence about them  so they're going back. if you buy them knowing about the thin fabric and snug fit  they might wo	2023-03-08T03:30:53Z
3193	-1	0	[0, 100, 2162, 5, 6399, 11, 28079, 8, 439, 159, 10, 1836, 228, 5, 2949, 31, 97, 34910, 4, 99, 939, 197, 33, 626, 21, 213, 159, 132, 10070, 328, 1237, 1307, 328, 127, 1623, 26, 939, 1415, 5283, 8, 14, 18, 393, 10, 205, 356, 114, 110, 45, 4, 1051, 42, 124, 5, 276, 183, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	I bought the shirt in ivory and went down a size per the advice from other reviewers. what i should have done was go down 2 sizes! runs huge! my husband said i looked pregnant and that's never a good look if your not. sent this back the same day.	2023-03-08T03:30:53Z
2355	-1	0	[0, 713, 16576, 1326, 73, 462, 4113, 2230, 101, 5, 1345, 4, 939, 2162, 10, 1836, 650, 8, 939, 2333, 3568, 10, 1836, 204, 4, 24, 21, 2085, 10, 5278, 15379, 380, 1437, 53, 1085, 14, 2132, 5, 356, 9, 5, 16576, 4, 5, 1468, 9180, 162, 9, 1299, 73, 605, 8110, 4281, 561, 1437, 818, 101, 28087, 857, 334, 1299, 847, 10229, 36, 4297, 13116, 254, 43, 36, 3654, 10, 2378, 43, 7586, 939, 21, 223, 39724, 4567, 111, 24, 1415, 10798, 8, 2007, 1437, 8, 5, 3195, 15158, 162, 66, 4, 2299, 45, 966, 5, 425, 36, 1990, 162, 42563, 322, 205, 6620, 328, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	This skirt looks/lays exactly like the photo. i bought a size small and i usually wear a size 4. it was maybe a smidge big  but nothing that affected the look of the skirt. the material reminded me of felt/wool mixed together  almost like sunday school felt cut outs (but stiffer) (not a fan).. i was underwhelmed - it looked plain and simple  and the color washed me out. definitely not worth the price (for me anyways). good luck!	2023-03-08T03:30:53Z
7374	0	1	[0, 26644, 425, 7013, 162, 7, 342, 42, 11, 127, 3298, 1666, 5, 1021, 5090, 9, 15, 516, 3482, 939, 4443, 4, 5, 9572, 8, 128, 620, 3239, 108, 101, 1958, 40727, 16, 95, 45, 162, 4, 10, 410, 350, 22, 438, 11282, 219, 108, 13, 162, 4, 114, 9572, 1937, 429, 33, 1682, 29942, 53, 42, 16, 95, 350, 203, 1437, 45, 127, 2496, 29942, 124, 24, 1411, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	"Think price convinced me to put this in my bag ... the oops of on line shopping i guess. the strip and 'stitch' like snowflake is just not me. a little too ""cutesy' for me. if strip alone might have kept .. but this is just too much  not my style .. back it goes."	2023-03-08T03:30:53Z
1038	-1	0	[0, 20328, 282, 75, 173, 15, 42, 5350, 11454, 22101, 4, 1437, 39328, 62, 74, 33, 1147, 19, 5, 6148, 10778, 1437, 53, 5, 3041, 219, 3989, 9, 5, 3089, 11556, 74, 33, 1415, 350, 21592, 15, 10, 2514, 1836, 4, 1437, 538, 1323, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	Didn't work on this curvy gal.  sizing up would have helped with the button gaps  but the flowy shape of the blouse would have looked too maternity on a larger size.  major pass.	2023-03-08T03:30:53Z
17291	1	2	[0, 100, 308, 5, 2272, 1732, 9, 42, 8443, 8, 2740, 5, 28079, 25, 157, 142, 9, 5, 1392, 425, 8, 142, 939, 2638, 5, 2272, 65, 98, 203, 4, 939, 2200, 5940, 42, 8443, 7, 3568, 81, 14442, 1437, 19, 10844, 50, 31296, 70, 76, 1062, 328, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	I own the green version of this jacket and ordered the ivory as well because of the sale price and because i loved the green one so much. i highly recommend this jacket to wear over dresses  with jeans or skirts all year round!	2023-03-08T03:30:53Z
