review_id	sentiment	label_id	input_ids	review_body	date
19041	1	2	[0, 510, 9222, 11835, 24, 11, 41345, 4, 78, 86, 24, 376, 11, 5, 7107, 1437, 24, 21, 31789, 8, 5, 23385, 1415, 101, 24, 56, 57, 10840, 149, 5, 10511, 328, 283, 15, 2111, 544, 1437, 47, 240, 7, 28, 55, 33721, 59, 8405, 66, 1964, 137, 47, 3627, 106, 328, 939, 2740, 24, 456, 1437, 8, 42, 86, 24, 21, 10, 92, 13855, 6439, 11, 4136, 1437, 98, 27441, 4, 1437, 1437, 939, 524, 10, 1836, 290, 12, 698, 1437, 8, 5, 650, 2564, 162, 2051, 4, 5, 14187, 16, 10, 410, 3229, 11, 5, 42613, 443, 1437, 53, 939, 64, 342, 62, 19, 24, 13, 5, 2496, 9, 42, 13855, 6439, 12846, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	Purchased it in raspberry. first time it came in the mail  it was stained and the hem looked like it had been dragged through the mud! come on customer service  you need to be more diligent about checking out items before you ship them! i ordered it again  and this time it was a new jumpsuit in plastic  so pristine.   i am a size 8-10  and the small fit me fine. the lining is a little tight in the crotch area  but i can put up with it for the style of this jumpsuit!!	2023-03-08T03:30:53Z
6113	0	1	[0, 133, 3195, 8, 28009, 16812, 9, 42, 299, 32, 2721, 4, 42, 74, 356, 372, 15, 1268, 2422, 11257, 1437, 3680, 47, 95, 356, 269, 1810, 25, 89, 16, 117, 5120, 11, 5, 28762, 9, 42, 299, 23, 70, 4, 5, 124, 2170, 924, 24, 157, 4, 939, 524, 195, 108, 466, 1437, 23703, 23246, 8, 939, 2740, 5, 650, 8, 4761, 8, 258, 58, 1307, 328, 19, 19078, 164, 124, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	The color and embellishment of this top are beautiful. this would look great on anyone super lean  otherwise you just look really wide as there is no frame in the torso of this top at all. the back picture shows it well. i am 5'9  142 lbs and i ordered the small and medium and both were huge! with regrets going back.	2023-03-08T03:30:53Z
5116	0	1	[0, 100, 101, 1521, 9, 5, 3588, 1437, 3793, 1825, 8, 3195, 36, 939, 300, 10521, 43, 1437, 5, 3588, 16, 10941, 15, 162, 172, 15, 1421, 36, 195, 108, 401, 113, 17445, 23246, 43, 939, 300, 475, 10698, 15983, 53, 939, 218, 75, 101, 10199, 1318, 24, 1302, 101, 24, 64, 28, 32350, 8, 5916, 62, 960, 8, 782, 7, 28, 26998, 70, 5, 86, 4, 1135, 939, 300, 24, 19, 843, 207, 6720, 24, 40, 283, 124, 25, 24, 18, 2129, 1318, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	"I like design of the dress  softness and color ( i got grey)  the dress is shorter on me then on model ( 5'6"" 145 lbs) i got m fits ok but i don't like fabric quality it seems like it can be peeled and picks up everything and needs to be sprayed all the time. despite i got it with 40% discount it will come back as it's poor quality."	2023-03-08T03:30:53Z
11118	-1	0	[0, 713, 16, 847, 182, 34374, 1437, 939, 437, 765, 13332, 15346, 8, 42, 6254, 2913, 127, 18951, 6148, 4, 5, 1468, 16, 6744, 8, 12272, 219, 4, 222, 45, 101, 23, 70, 8, 40, 28, 3357, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	This is cut very strangely  i'm short waisted and this barely covered my belly button. the material is rough and scratchy. did not like at all and will be returning.	2023-03-08T03:30:53Z
1255	1	2	[0, 133, 1318, 9, 42, 15203, 16, 3973, 1437, 8, 5, 20310, 16, 9297, 4, 939, 33, 10610, 24, 25, 10, 8443, 15, 10439, 254, 360, 1437, 11, 173, 25, 10, 20310, 10490, 8, 1146, 15, 7196, 7, 1760, 25, 258, 2704, 10, 11824, 34925, 4, 24, 16, 10, 182, 15240, 661, 2125, 14, 64, 28, 10610, 490, 50, 12138, 5357, 4, 24, 1237, 739, 30, 2496, 1437, 53, 939, 524, 195, 108, 134, 113, 1437, 727, 23246, 8, 939, 64, 2324, 24, 160, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	"The quality of this vest is outstanding  and the warmth is exceptional. i have worn it as a jacket on milder days  in work as a warmth layer and brought on vacation to act as both plus a bathrobe. it is a very stylist piece that can be worn open or belted. it runs large by style  but i am 5'1""  100 lbs and i can carry it off."	2023-03-08T03:30:53Z
9279	0	1	[0, 100, 1381, 42, 15, 11, 5, 1400, 8, 1276, 7, 645, 10, 2514, 1836, 804, 4, 5, 10199, 30, 5, 14893, 16, 182, 7174, 98, 143, 6539, 40, 1303, 6941, 5, 65, 939, 1381, 15, 11, 1400, 21, 30274, 30, 951, 1493, 667, 24, 4, 939, 437, 10, 2631, 47821, 8, 2162, 10, 501, 4, 137, 667, 24, 15, 939, 5324, 5, 10199, 16, 416, 6539, 10, 410, 235, 66, 9, 5, 3737, 4, 667, 7, 2845, 114, 24, 16, 966, 2396, 50, 40, 28, 4957, 31, 2498, 4, 1437, 1437, 24, 269, 16, 182, 11962, 15, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	I tried this on in the store and decided to order a larger size online. the fabric by the buttons is very thin so any pulling will cause tears the one i tried on in store was shredded by someone else trying it. i'm a 34 dd and bought a 14. before trying it on i noticed the fabric is already pulling a little right out of the package. trying to decide if it is worth keeping or will be destroyed from wearing.   it really is very cute on.	2023-03-08T03:30:53Z
4500	1	2	[0, 100, 657, 42, 6399, 328, 5, 8089, 32, 55, 21677, 11, 5, 2356, 1437, 98, 939, 21, 10, 410, 3911, 7, 192, 141, 4520, 103, 9, 5, 8089, 58, 4, 202, 2422, 11962, 328, 67, 34, 10, 4600, 19780, 2564, 5579, 118, 437, 10, 650, 420, 3595, 36, 245, 108, 406, 113, 1437, 8325, 1437, 1359, 73, 9996, 7232, 1119, 43, 1437, 98, 114, 47, 6573, 10, 55, 1528, 50, 15976, 2564, 1437, 1836, 159, 4, 1169, 169, 1437, 120, 42, 32376, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	"I love this shirt! the colors are more muted in the photos  so i was a little surprised to see how bright some of the colors were. still super cute! also has a looser fit--i'm a small across brands (5'7""  130  straight/slender build)  so if you prefer a more true or tighter fit  size down. either way  get this!!!!"	2023-03-08T03:30:53Z
12370	1	2	[0, 100, 657, 42, 3588, 53, 9574, 24, 16, 98, 614, 15804, 14, 939, 74, 33, 117, 5852, 7, 304, 42, 3588, 1437, 4682, 13, 3544, 10, 3716, 12, 3730, 515, 4, 1437, 1437, 1437, 939, 524, 10, 6473, 740, 4946, 8, 115, 45, 120, 409, 19, 2498, 42, 3588, 4558, 4, 1437, 1437, 1437, 114, 47, 109, 2845, 7, 2229, 5, 3588, 1437, 47, 64, 888, 213, 10, 1836, 159, 4, 939, 437, 227, 10, 204, 8, 231, 8, 3584, 5, 204, 8, 10698, 16467, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	I love this dress but unfortunately it is so low plunge that i would have no occasion to use this dress  except for possibly a pool-side event.    i am a modest c cup and could not get away with wearing this dress anywhere.    if you do decide to purchase the dress  you can actually go a size down. i'm between a 4 and 6 and purchased the 4 and fits beautifully.	2023-03-08T03:30:53Z
9151	0	1	[0, 100, 218, 75, 216, 114, 939, 21, 1051, 10, 4716, 1459, 30, 5021, 1437, 53, 42, 16, 45, 3191, 4877, 251, 4, 939, 4883, 24, 161, 7021, 3588, 1437, 53, 939, 802, 114, 5, 5933, 21, 6030, 8, 5, 10199, 2016, 615, 1437, 5, 2408, 74, 146, 24, 34203, 15, 162, 4, 25, 24, 21, 11, 2015, 5579, 20263, 8, 1109, 12, 4301, 10199, 5579, 405, 4202, 1116, 196, 66, 11, 41, 23983, 33041, 169, 4, 350, 1099, 1437, 25, 5, 5780, 16, 9869, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	I don't know if i was sent a petite by mistake  but this is not 39 inches long. i realize it says swing dress  but i thought if the length was accurate and the fabric heavy enough  the weight would make it flattering on me. as it was in reality--short and light-weight fabric--it poofed out in an unattractive way. too bad  as the print is lovely.	2023-03-08T03:30:53Z
19660	0	1	[0, 100, 2162, 42, 3588, 13, 10, 3312, 939, 33, 42, 1035, 1437, 8, 24, 18, 98, 11962, 4, 9574, 5, 2564, 965, 75, 1969, 4, 5, 4761, 10698, 127, 13977, 6683, 1437, 53, 21, 169, 350, 251, 8, 350, 380, 11, 5, 11044, 8, 10762, 4, 114, 939, 770, 7, 1930, 5, 418, 1437, 939, 115, 120, 24, 17719, 1437, 53, 939, 95, 1299, 101, 24, 429, 45, 28, 966, 24, 4, 526, 1591, 111, 42, 3588, 21, 2781, 7, 162, 19, 10, 295, 3109, 10544, 6694, 15, 24, 8, 939, 303, 24, 203, 7246, 89, 71, 546, 328, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	I bought this dress for a wedding i have this summer  and it's so cute. unfortunately the fit isn't perfect. the medium fits my waist perfectly  but was way too long and too big in the bust and shoulders. if i wanted to spend the money  i could get it tailored  but i just felt like it might not be worth it. side note - this dress was delivered to me with a nordstrom tag on it and i found it much cheaper there after looking!	2023-03-08T03:30:53Z
